Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/05/2022,4,3,N,LZ_SOUTH,LZ,18.15
01/05/2022,4,4,N,LZ_SOUTH,LZ,18.28
01/05/2022,5,1,N,LZ_SOUTH,LZ,16.92
01/05/2022,5,2,N,LZ_SOUTH,LZ,17.21
01/05/2022,5,3,N,LZ_SOUTH,LZ,17.98
01/05/2022,5,4,N,LZ_SOUTH,LZ,16.82
01/05/2022,6,1,N,LZ_SOUTH,LZ,19.7
01/05/2022,6,2,N,LZ_SOUTH,LZ,21.7
01/05/2022,6,3,N,LZ_SOUTH,LZ,22.4
01/05/2022,6,4,N,LZ_SOUTH,LZ,22.32
01/05/2022,7,1,N,LZ_SOUTH,LZ,22.4
01/05/2022,7,2,N,LZ_SOUTH,LZ,22.64
01/05/2022,7,3,N,LZ_SOUTH,LZ,22.74
01/05/2022,7,4,N,LZ_SOUTH,LZ,22.62
01/05/2022,8,1,N,LZ_SOUTH,LZ,22.78
01/05/2022,8,2,N,LZ_SOUTH,LZ,22.67
01/05/2022,8,3,N,LZ_SOUTH,LZ,22.77
01/05/2022,8,4,N,LZ_SOUTH,LZ,22.8
01/05/2022,9,1,N,LZ_SOUTH,LZ,22.57
01/05/2022,9,2,N,LZ_SOUTH,LZ,22.38
01/05/2022,9,3,N,LZ_SOUTH,LZ,21.67
01/05/2022,9,4,N,LZ_SOUTH,LZ,21.15
01/05/2022,10,1,N,LZ_SOUTH,LZ,19.74
01/05/2022,10,2,N,LZ_SOUTH,LZ,21.11
01/05/2022,10,3,N,LZ_SOUTH,LZ,21.88
01/05/2022,10,4,N,LZ_SOUTH,LZ,20.83
01/05/2022,11,1,N,LZ_SOUTH,LZ,19.97
01/05/2022,11,2,N,LZ_SOUTH,LZ,21.06
01/05/2022,11,3,N,LZ_SOUTH,LZ,22.18
01/05/2022,11,4,N,LZ_SOUTH,LZ,22.77
01/05/2022,12,1,N,LZ_SOUTH,LZ,24.64
